Issue Type,Summary,Description,Priority,Story Points,Sprint,Epic Name,Labels
Story,"HU-01 Registrar trabajadores adultos","Como ONG quiero registrar trabajadores adultos para tener trazabilidad basica. Criterios: guarda datos minimos; estado activo solo si age >= 18; queda asociado a organizacion.",Highest,5,Sprint 1,Manos en Ruta MVP,"mvp,sprint-1,registro"
Story,"HU-02 Registrar menores como alerta social","Como ONG quiero registrar menores solo como alerta o derivacion social para no promover trabajo infantil. Criterios: age < 18 genera status alerta_derivacion; no aparece en trabajadores activos.",Highest,5,Sprint 1,Manos en Ruta MVP,"mvp,sprint-1,proteccion"
Story,"HU-03 Ver trabajadores activos por zona","Como ONG quiero ver trabajadores activos por zona para monitorear cruces seguros. Criterios: lista solo status activo; muestra zona y datos basicos.",High,3,Sprint 2,Manos en Ruta MVP,"mvp,sprint-2,zonas"
Story,"HU-04 Generar QR de propina simulada","Como conductor quiero escanear un QR para apoyar a un trabajador adulto con una propina simulada. Criterios: QR apunta a ruta de donacion; no procesa pagos reales.",High,3,Sprint 2,Manos en Ruta MVP,"mvp,sprint-2,qr"
Story,"HU-05 Registrar donacion simulada","Como conductor quiero registrar una donacion simulada para demostrar apoyo digital. Criterios: monto mayor a cero; queda asociada a trabajador.",High,3,Sprint 2,Manos en Ruta MVP,"mvp,sprint-2,donaciones"
Story,"HU-06 Reportar incidentes","Como ONG quiero registrar incidentes para dar seguimiento social y operativo. Criterios: tipo requerido; descripcion requerida; puede asociarse a trabajador y zona.",Medium,3,Sprint 2,Manos en Ruta MVP,"mvp,sprint-2,incidentes"
Story,"HU-07 Ver dashboard de estadisticas","Como municipalidad quiero ver estadisticas para tomar decisiones. Criterios: muestra trabajadores activos, alertas, donaciones, incidentes y zonas seguras.",High,5,Sprint 3,Manos en Ruta MVP,"mvp,sprint-3,dashboard"
Task,"Configurar CI/CD con GitHub Actions","Pipeline ejecuta instalacion, lint, tests y build para web y api.",Medium,3,Sprint 3,Manos en Ruta MVP,"devops,sprint-3,ci-cd"
Task,"Desplegar frontend en Vercel","Configurar variables NEXT_PUBLIC_API_URL, NEXT_PUBLIC_SUPABASE_URL y NEXT_PUBLIC_SUPABASE_ANON_KEY. Evidencia: URL publica y logs.",Medium,3,Sprint 3,Manos en Ruta MVP,"devops,sprint-3,vercel"
Task,"Desplegar backend en Railway","Configurar variables SUPABASE_URL, SUPABASE_SERVICE_ROLE_KEY, SUPABASE_ANON_KEY, PUBLIC_WEB_URL y PORT. Evidencia: health check y logs.",Medium,3,Sprint 3,Manos en Ruta MVP,"devops,sprint-3,railway"
Task,"Documentar informe final","Consolidar problema, solucion, DevOps, diagramas, Scrum, BD, MVP, branching, CI/CD, despliegue y evidencias.",Medium,2,Sprint 3,Manos en Ruta MVP,"docs,sprint-3,informe"
